,Category,Distance,Radian
459,veggiecabbage,0.2370000000000001,-2.4
460,veggiecabbage,0.32200000000000006,-1.982
461,veggiecabbage,0.2805,-0.45
462,veggiecabbage,0.27400000000000013,-1.202
463,veggiecabbage,0.14250000000000007,1.169
464,veggiecabbage,0.15300000000000014,-1.999
465,veggiecabbage,0.34600000000000003,-2.172
466,veggiecabbage,0.17900000000000005,-2.51
467,veggiecabbage,0.335,-1.818
468,veggiecabbage,0.17000000000000004,0.269
469,veggiecabbage,0.20450000000000013,-2.145
470,veggiecabbage,0.3315,3.074
471,veggiecabbage,0.18250000000000005,-2.9
472,veggiecabbage,0.312,2.14
473,veggiecabbage,0.24950000000000006,-0.47
474,veggiecabbage,0.19050000000000006,2.106
475,veggiecabbage,0.24550000000000005,-1.601
476,veggiecabbage,0.4165,2.389
477,veggiecabbage,0.09999999999999998,-0.535
478,veggiecabbage,0.17149999999999999,-0.559
479,veggiecabbage,0.4415,-2.498
480,veggiecabbage,0.17400000000000004,0.427
481,veggiecabbage,0.17150000000000004,1.028
482,veggiecabbage,0.22850000000000004,2.585
483,veggiecabbage,0.25450000000000006,-0.615
484,veggiecabbage,0.08300000000000007,-0.462
485,veggiecabbage,0.29400000000000004,2.676
486,veggiecabbage,0.28500000000000014,-0.376
487,veggiecabbage,0.21100000000000008,2.009
488,veggiecabbage,0.17550000000000004,2.328
489,veggiecabbage,0.36650000000000005,2.527
490,veggiecabbage,0.24150000000000005,-1.151
491,veggiecabbage,0.14550000000000007,1.1
492,veggiecabbage,0.27200000000000013,-2.29
493,veggiecabbage,0.14100000000000013,1.145
494,veggiecabbage,0.2300000000000001,-1.785
495,veggiecabbage,0.23450000000000004,2.253
496,veggiecabbage,0.22850000000000004,2.707
497,veggiecabbage,0.2025,-0.24
498,veggiecabbage,0.35650000000000004,-0.854
499,veggiecabbage,0.09999999999999998,0.2
500,veggiecabbage,0.1905,3.06
501,veggiecabbage,0.10999999999999999,0.296
502,veggiecabbage,0.31600000000000006,-2.903
503,veggiecabbage,0.13250000000000006,0.5
504,veggiecabbage,0.17300000000000004,0.477
505,veggiecabbage,0.272,1.158
506,veggiecabbage,0.23150000000000004,-2.283
507,veggiecabbage,0.16950000000000004,-0.196
508,veggiecabbage,0.3345,1.16
509,veggiecabbage,0.1815,1.336
510,veggiecabbage,0.343,-2.791
511,veggiecabbage,0.41300000000000003,-2.241
