,Action,Movable,Surface,x,y,z,yaw,dx,run_name
138,pick,veggietomato,box,0.16499999999999998,0.08900000000000041,0.07699999999999996,1.024,0.10050000000000003,/_gmm/869
139,pick,veggietomato,box,0.17099999999999999,0.4990000000000001,0.07600000000000007,0.55,0.12650000000000006,/_gmm/873
140,pick,veggietomato,box,0.261,-0.145,0.07700000000000018,2.786,0.11699999999999999,/_gmm/883
141,pick,veggietomato,box,0.11699999999999999,-0.22599999999999998,0.07699999999999996,1.015,0.14850000000000002,/_gmm/889
142,pick,veggietomato,box,0.30299999999999994,0.4949999999999992,0.07700000000000018,1.726,0.07750000000000012,/_gmm/898
143,pick,veggietomato,box,0.266,-0.3819999999999997,0.07700000000000018,2.271,0.11199999999999999,/_gmm/900
144,pick,veggietomato,box,0.19,0.6080000000000005,0.07600000000000007,1.97,0.10750000000000004,/_gmm/907
145,pick,veggietomato,box,0.27999999999999997,-0.9549999999999998,0.07700000000000018,2.396,0.12400000000000011,/_gmm/914
146,pick,veggietomato,box,0.22799999999999998,0.40700000000000003,0.07700000000000018,2.912,0.15000000000000002,/_gmm/943
147,pick,veggietomato,box,0.279,-0.22199999999999998,0.07700000000000018,1.808,0.10150000000000003,/_gmm/945
148,pick,veggietomato,box,0.236,-0.123,0.07700000000000018,1.69,0.14200000000000002,/_gmm/955
149,pick,veggietomato,box,0.24600000000000005,0.09199999999999986,0.07700000000000018,1.992,0.15749999999999997,/_gmm/957
150,pick,veggietomato,box,0.266,0.05900000000000016,0.07700000000000018,1.888,0.11450000000000005,/_gmm/967
151,pick,veggietomato,box,0.31299999999999994,0.035,0.07700000000000018,1.612,0.06750000000000012,/_gmm/978
152,pick,veggietomato,box,0.183,0.18599999999999994,0.07699999999999996,1.341,0.08250000000000002,/_gmm/980
153,pick,veggietomato,box,0.28200000000000003,0.05899999999999972,0.07700000000000018,0.905,0.09599999999999997,/_gmm/982
154,pick,veggietomato,box,0.2,0.5300000000000002,0.07699999999999996,0.687,0.0655,/_gmm/984
155,pick,veggietomato,box,0.23399999999999999,0.8560000000000003,0.07700000000000018,2.989,0.14400000000000002,/_gmm/993
156,pick,veggietomato,box,0.188,0.06200000000000028,0.07600000000000007,2.78,0.10950000000000004,/_gmm/1000
157,pick,veggietomato,box,0.319,-0.9699999999999998,0.07700000000000018,0.232,0.08500000000000008,/_gmm/1005
158,pick,veggietomato,box,0.24200000000000005,0.057000000000000384,0.07700000000000018,2.25,0.16149999999999998,/_gmm/1007
159,pick,veggietomato,box,0.2909999999999999,0.030999999999999917,0.07700000000000018,0.622,0.08700000000000008,/_gmm/1020
160,pick,veggietomato,box,0.23399999999999999,0.11800000000000033,0.07700000000000018,1.908,0.14650000000000007,/_gmm/1029
161,pick,veggietomato,box,0.266,-0.11899999999999977,0.07700000000000018,1.575,0.11199999999999999,/_gmm/1032
162,pick,veggietomato,box,0.199,-0.16900000000000004,0.07700000000000018,3.023,0.20450000000000002,/_gmm/1055
163,pick,veggietomato,box,0.19599999999999995,-0.6079999999999999,0.07700000000000018,0.036,0.18200000000000005,/_gmm/1058
164,pick,veggietomato,box,0.27,-0.028999999999999915,0.07700000000000018,2.539,0.10799999999999998,/_gmm/1059
165,pick,veggietomato,box,0.271,-0.012999999999999456,0.07700000000000018,3.104,0.10950000000000004,/_gmm/1071
166,pick,veggietomato,box,0.183,-0.17400000000000038,0.07600000000000007,1.277,0.11450000000000005,/_gmm/1075
167,pick,veggietomato,box,0.135,-0.16500000000000004,0.07699999999999996,2.57,0.1305,/_gmm/1076
168,pick,veggietomato,box,0.2899999999999999,0.264,0.07700000000000018,0.189,0.08800000000000008,/_gmm/1082
169,pick,veggietomato,box,0.16599999999999993,-0.17400000000000038,0.07700000000000018,3.095,0.21450000000000014,/_gmm/1087
170,pick,veggietomato,box,0.34500000000000003,0.6160000000000001,0.07700000000000018,1.6,0.05900000000000005,/_gmm/1094
171,pick,veggietomato,box,0.242,-0.03200000000000003,0.07700000000000018,2.606,0.136,/_gmm/1098
172,pick,veggietomato,box,0.22399999999999998,0.8470000000000004,0.07700000000000018,2.381,0.15400000000000003,/_gmm/1101
173,pick,veggietomato,box,0.22799999999999998,0.05699999999999994,0.07700000000000018,1.552,0.15000000000000002,/_gmm/1110
174,pick,veggietomato,box,0.25200000000000006,-0.2240000000000002,0.07700000000000018,0.755,0.15149999999999997,/_gmm/1122
175,pick,veggietomato,box,0.309,0.057000000000000384,0.07700000000000018,0.185,0.09450000000000003,/_gmm/1138
176,pick,veggietomato,box,0.295,-0.06400000000000006,0.07700000000000018,2.375,0.10850000000000004,/_gmm/1141
177,pick,veggietomato,box,0.198,-0.1200000000000001,0.07699999999999996,1.633,0.0675,/_gmm/1152
178,pick,veggietomato,box,0.176,0.08000000000000007,0.07600000000000007,2.385,0.12150000000000005,/_gmm/1154
179,pick,veggietomato,box,0.30599999999999994,0.03399999999999981,0.07700000000000018,0.287,0.07200000000000006,/_gmm/1158
180,pick,veggietomato,box,0.20899999999999996,-0.009999999999999787,0.07700000000000018,2.55,0.1715000000000001,/_gmm/1168
181,pick,veggietomato,box,0.23500000000000004,-0.06300000000000061,0.07700000000000018,2.998,0.16849999999999998,/_gmm/1174
182,pick,veggietomato,box,0.29399999999999993,0.5739999999999998,0.07700000000000018,1.832,0.08400000000000007,/_gmm/1175
183,pick,veggietomato,box,0.299,-0.24899999999999997,0.07700000000000018,1.806,0.10450000000000004,/_gmm/1176
184,pick,veggietomato,box,0.235,0.9330000000000003,0.07700000000000018,2.882,0.14300000000000002,/_gmm/1179
185,pick,veggietomato,box,0.2929999999999999,-0.268,0.07700000000000018,1.594,0.08500000000000008,/_gmm/1181
186,pick,veggietomato,box,0.243,0.2410000000000001,0.07700000000000018,3.108,0.135,/_gmm/1189
187,pick,veggietomato,box,0.299,0.1429999999999998,0.07700000000000018,1.541,0.10450000000000004,/_gmm/1200
188,pick,veggietomato,box,0.27,-0.14300000000000002,0.07700000000000018,1.045,0.11050000000000004,/_gmm/1216
189,pick,veggietomato,box,0.248,0.039000000000000035,0.07700000000000018,1.124,0.13250000000000006,/_gmm/1217
190,pick,veggietomato,box,0.128,0.2320000000000001,0.07600000000000007,0.072,0.16950000000000004,/_gmm/1222
191,pick,veggietomato,box,0.18899999999999995,0.06899999999999995,0.07700000000000018,0.198,0.18900000000000006,/_gmm/1229
192,pick,veggietomato,box,0.20699999999999996,0.015000000000000124,0.07700000000000018,0.518,0.1735000000000001,/_gmm/1230
193,pick,veggietomato,box,0.14900000000000002,-0.10000000000000053,0.07699999999999996,2.704,0.11649999999999999,/_gmm/1239
194,pick,veggietomato,box,0.21100000000000002,-0.26,0.07600000000000007,0.929,0.08650000000000002,/_gmm/1241
195,pick,veggietomato,box,0.293,0.10099999999999998,0.07700000000000018,2.525,0.1110000000000001,/_gmm/1252
196,pick,veggietomato,box,0.21499999999999997,-0.027000000000000135,0.07700000000000018,2.142,0.16300000000000003,/_gmm/1253
